R01_point_id,R01_shear_rate_s_inv,R01_stress_Pa,R01_viscosity_Pa_s,R01_temperature_C,R01_elapsed_s,R01_segment_s,R02_point_id,R02_shear_rate_s_inv,R02_stress_Pa,R02_viscosity_Pa_s,R02_temperature_C,R02_elapsed_s,R02_segment_s,R03_point_id,R03_shear_rate_s_inv,R03_stress_Pa,R03_viscosity_Pa_s,R03_temperature_C,R03_elapsed_s,R03_segment_s,R04_point_id,R04_shear_rate_s_inv,R04_stress_Pa,R04_viscosity_Pa_s,R04_temperature_C,R04_elapsed_s,R04_segment_s,R05_point_id,R05_shear_rate_s_inv,R05_stress_Pa,R05_viscosity_Pa_s,R05_temperature_C,R05_elapsed_s,R05_segment_s,R06_point_id,R06_shear_rate_s_inv,R06_stress_Pa,R06_viscosity_Pa_s,R06_temperature_C,R06_elapsed_s,R06_segment_s
1|42,414.2,8.378,0.02023,24.89,130.6,126,1|42,414.2,56.88,0.1373,24.84,145.4,126,1|42,414.2,103.3,0.2494,25.3,128.2,126,1|42,414.2,260,0.6278,25.44,129.1,126,1|42,414.2,266.5,0.6434,25.58,252.8,252,1|42,414.2,55.24,0.1334,25.08,258.2,252
1|43,424.3,8.462,0.01994,24.89,133.6,129,1|43,424.3,57.59,0.1357,24.85,148.4,129,1|43,424.3,104.4,0.2461,25.3,131.2,129,1|43,424.3,261.6,0.6166,25.44,132.1,129,1|43,424.3,269.1,0.6343,25.58,258.8,258,1|43,424.3,56.01,0.132,25.08,264.2,258
1|44,434.4,8.381,0.01929,24.89,136.6,132,1|44,434.4,58.15,0.1339,24.84,151.4,132,1|44,434.4,105.6,0.2431,25.3,134.2,132,1|44,434.4,263.1,0.6058,25.46,135.1,132,1|44,434.4,271.9,0.626,25.57,264.8,264,1|44,434.4,56.63,0.1304,25.07,270.2,264
1|45,444.5,8.476,0.01907,24.9,139.6,135,1|45,444.5,58.87,0.1324,24.84,154.4,135,1|45,444.5,106.9,0.2406,25.3,137.2,135,1|45,444.5,264.8,0.5957,25.45,138.1,135,1|45,444.5,274.8,0.6182,25.58,270.8,270,1|45,444.5,57.31,0.1289,25.07,276.2,270
1|46,454.6,8.682,0.0191,24.9,142.6,138,1|46,454.6,59.4,0.1307,24.85,157.4,138,1|46,454.6,108.3,0.2383,25.3,140.2,138,1|46,454.6,266.4,0.586,25.46,141.1,138,1|46,454.6,277.7,0.6108,25.58,276.8,276,1|46,454.6,57.78,0.1271,25.08,282.2,276
1|47,464.7,8.851,0.01905,24.89,145.6,141,1|47,464.7,59.92,0.129,24.84,160.4,141,1|47,464.7,109.6,0.2359,25.3,143.2,141,1|47,464.7,268.1,0.5769,25.44,144.1,141,1|47,464.7,280.3,0.6031,25.58,282.8,282,1|47,464.7,58.28,0.1254,25.08,288.2,282
1|48,474.8,8.904,0.01875,24.89,148.6,144,1|48,474.8,60.61,0.1277,24.84,163.4,144,1|48,474.8,110.8,0.2333,25.3,146.2,144,1|48,474.8,269.4,0.5675,25.45,147.1,144,1|48,474.8,282.8,0.5956,25.59,288.8,288,1|48,474.8,58.7,0.1236,25.08,294.2,288
1|49,484.9,9.05,0.01866,24.89,151.6,147,1|49,484.9,61.37,0.1266,24.85,166.4,147,1|49,484.9,112,0.231,25.3,149.2,147,1|49,484.9,270.9,0.5586,25.45,150.1,147,1|49,484.9,284.1,0.586,25.58,294.8,294,1|49,484.9,59.42,0.1225,25.08,300.2,294
1|50,495,9.333,0.01886,24.89,154.6,150,1|50,495,62.37,0.126,24.85,169.4,150,1|50,495,113.5,0.2292,25.3,152.2,150,1|50,495,272.6,0.5507,25.44,153.1,150,1|50,495,283.8,0.5733,25.58,300.8,300,1|50,495,60,0.1212,25.08,306.2,300
1|51,505.1,9.411,0.01863,24.89,157.6,153,1|51,505.1,63.15,0.125,24.85,172.4,153,1|51,505.1,114.9,0.2275,25.3,155.2,153,1|51,505.1,274.6,0.5437,25.46,156.1,153,1|51,505.1,284.7,0.5636,25.59,306.8,306,1|51,505.1,60.55,0.1199,25.1,312.2,306
1|52,515.2,9.393,0.01823,24.89,160.6,156,1|52,515.2,63.76,0.1238,24.85,175.4,156,1|52,515.2,116.3,0.2258,25.3,158.2,156,1|52,515.2,277.1,0.5379,25.44,159.1,156,1|52,515.2,286.3,0.5558,25.58,312.8,312,1|52,515.2,60.87,0.1181,25.08,318.2,312
1|53,525.3,9.464,0.01802,24.9,163.6,159,1|53,525.3,64.39,0.1226,24.84,178.4,159,1|53,525.3,117.6,0.2239,25.3,161.2,159,1|53,525.3,280.3,0.5335,25.44,162.1,159,1|53,525.3,288.1,0.5484,25.59,318.8,318,1|53,525.3,61.43,0.1169,25.09,324.2,318
1|54,535.4,9.404,0.01756,24.88,166.6,162,1|54,535.4,64.75,0.1209,24.86,181.4,162,1|54,535.4,118.8,0.2219,25.3,164.2,162,1|54,535.4,283.6,0.5297,25.45,165.1,162,1|54,535.4,290.4,0.5425,25.6,324.8,324,1|54,535.4,61.76,0.1153,25.09,330.2,324
1|55,545.5,9.481,0.01738,24.89,169.6,165,1|55,545.5,65.16,0.1195,24.85,184.4,165,1|55,545.5,119.9,0.2199,25.31,167.2,165,1|55,545.5,286.5,0.5252,25.46,168.1,165,1|55,545.5,291.9,0.5351,25.58,330.8,330,1|55,545.5,62,0.1137,25.09,336.2,330
1|56,555.6,9.732,0.01752,24.91,172.6,168,1|56,555.6,65.8,0.1184,24.85,187.4,168,1|56,555.6,121,0.2178,25.3,170.2,168,1|56,555.6,289.1,0.5203,25.44,171.1,168,1|56,555.6,293.1,0.5276,25.6,336.8,336,1|56,555.6,62.57,0.1126,25.08,342.2,336
1|57,565.7,9.777,0.01728,24.89,175.6,171,1|57,565.7,66.29,0.1172,24.85,190.4,171,1|57,565.7,122.2,0.216,25.31,173.2,171,1|57,565.7,292,0.5162,25.45,174.1,171,1|57,565.7,294.1,0.52,25.61,342.8,342,1|57,565.7,62.89,0.1112,25.09,348.2,342
1|58,575.8,9.825,0.01706,24.88,178.6,174,1|58,575.8,66.94,0.1163,24.85,193.4,174,1|58,575.8,123.2,0.2139,25.3,176.2,174,1|58,575.8,296.3,0.5147,25.46,177.1,174,1|58,575.8,295.6,0.5134,25.59,348.8,348,1|58,575.8,63.51,0.1103,25.08,354.2,348
1|59,585.9,10.09,0.01722,24.91,181.6,177,1|59,585.9,67.46,0.1151,24.84,196.4,177,1|59,585.9,124.1,0.2118,25.3,179.2,177,1|59,585.9,300.7,0.5132,25.46,180.1,177,1|59,585.9,297,0.5068,25.58,354.8,354,1|59,585.9,63.89,0.109,25.09,360.2,354
1|60,596,10.13,0.01699,24.91,184.6,180,1|60,596,67.89,0.1139,24.84,199.4,180,1|60,596,125.1,0.2099,25.29,182.2,180,1|60,596,304.3,0.5106,25.45,183.1,180,1|60,596,298.4,0.5007,25.59,360.8,360,1|60,596,64.26,0.1078,25.1,366.2,360
1|61,606.1,10.32,0.01703,24.89,187.6,183,1|61,606.1,68.48,0.113,24.85,202.4,183,1|61,606.1,126.3,0.2083,25.32,185.2,183,1|61,606.1,306.9,0.5063,25.47,186.1,183,1|61,606.1,298.7,0.4927,25.62,366.8,366,1|61,606.1,64.67,0.1067,25.09,372.2,366
1|62,616.2,10.52,0.01707,24.9,190.6,186,1|62,616.2,69.02,0.112,24.86,205.4,186,1|62,616.2,127.3,0.2066,25.31,188.2,186,1|62,616.2,308.8,0.5012,25.46,189.1,186,1|62,616.2,300.5,0.4877,25.58,372.8,372,1|62,616.2,65.35,0.1061,25.09,378.2,372
1|63,626.3,10.61,0.01694,24.92,193.6,189,1|63,626.3,69.48,0.1109,24.86,208.4,189,1|63,626.3,128.1,0.2046,25.32,191.2,189,1|63,626.3,310.6,0.4959,25.46,192.1,189,1|63,626.3,302,0.4823,25.6,378.8,378,1|63,626.3,66.04,0.1054,25.1,384.2,378
1|64,636.4,10.79,0.01695,24.92,196.6,192,1|64,636.4,69.85,0.1098,24.85,211.4,192,1|64,636.4,129,0.2028,25.32,194.2,192,1|64,636.4,312.1,0.4904,25.47,195.1,192,1|64,636.4,303.2,0.4765,25.61,384.8,384,1|64,636.4,66.47,0.1045,25.1,390.2,384
1|65,646.5,10.88,0.01683,24.89,199.6,195,1|65,646.5,70.35,0.1088,24.83,214.4,195,1|65,646.5,129.9,0.2009,25.3,197.2,195,1|65,646.5,313.1,0.4843,25.46,198.1,195,1|65,646.5,305.8,0.473,25.62,390.8,390,1|65,646.5,66.93,0.1035,25.11,396.2,390
1|66,656.6,11.09,0.0169,24.92,202.6,198,1|66,656.6,70.84,0.1079,24.84,217.4,198,1|66,656.6,130.7,0.1991,25.31,200.2,198,1|66,656.6,314.9,0.4795,25.46,201.1,198,1|66,656.6,307.3,0.468,25.61,396.8,396,1|66,656.6,67.39,0.1026,25.1,402.2,396
1|67,666.7,11.8,0.0177,24.92,205.6,201,1|67,666.7,71.19,0.1068,24.88,220.4,201,1|67,666.7,131.5,0.1973,25.3,203.2,201,1|67,666.7,315.5,0.4732,25.45,204.1,201,1|67,666.7,309.9,0.4648,25.58,402.8,402,1|67,666.7,67.66,0.1015,25.12,408.2,402
1|68,676.8,11.54,0.01706,24.91,208.6,204,1|68,676.8,71.35,0.1054,24.84,223.4,204,1|68,676.8,132.3,0.1955,25.31,206.2,204,1|68,676.8,314.8,0.4651,25.47,207.1,204,1|68,676.8,311.8,0.4607,25.6,408.8,408,1|68,676.8,68.13,0.1007,25.1,414.2,408
1|69,686.9,11.61,0.0169,24.92,211.6,207,1|69,686.9,71.56,0.1042,24.85,226.4,207,1|69,686.9,133,0.1937,25.33,209.2,207,1|69,686.9,314.6,0.458,25.46,210.1,207,1|69,686.9,313,0.4557,25.6,414.8,414,1|69,686.9,68.32,0.09946,25.1,420.2,414
1|70,697,11.82,0.01695,24.9,214.6,210,1|70,697,72,0.1033,24.84,229.4,210,1|70,697,133.6,0.1917,25.33,212.2,210,1|70,697,315.8,0.4531,25.45,213.1,210,1|70,697,311.1,0.4463,25.62,420.8,420,1|70,697,68.69,0.09855,25.12,426.2,420
